Time,X0,X1,X2,X3,X4,X5,X6,U0,U1,U2,U3
0.0,1840.0,1020.0,-650.0,-48.0,-11.0,7.0,7.600902459542082,6.170761072339725,-6.203410617763517,3.949608161199277,9.600000002751056
1.0,1793.1260156940239,1006.1091717207497,-641.2165606750702,-45.74809623096232,-16.781676181050127,10.566927422683666,7.596102459540707,9.64172744149061,0.25163923358050055,-0.15086412472281377,9.646190457474493
2.0,1750.4534421739866,989.3213006322691,-630.3673394159567,-39.5970511196018,-16.794196981669234,11.131515214204747,7.59127936431197,9.683731839422379,0.3044337892934893,-0.28630724935610447,9.692745424350868
3.0,1713.6519696355624,972.744896230307,-619.300579682531,-34.00588437805031,-16.358736306783452,11.002000591715404,7.586432991599795,9.728754141549752,0.2602407247905985,-0.3054314502339858,9.737024242094934
4.0,1682.762443298443,956.7191055390372,-608.7654626815245,-27.773153630900246,-15.69299049957992,10.068227805587862,7.581564479478747,9.597741449146898,0.12585332068070346,-0.11737166741649303,9.59928407202965
5.0,1657.5979853391418,941.073606147161,-598.5328669450988,-22.555760215477633,-15.598120655418262,10.396962875310502,7.576764837442732,3.1384415437215836,0.027215941987879546,-0.07256088194403874,3.139398206313425
6.0,1634.6726453318886,925.1604619312228,-588.0369188245589,-23.294933721346975,-16.228149809087352,10.594938686534388,7.575195138339575,2.615743262864241,0.06520992119102402,-0.07185470262914215,2.6175411096598005
7.0,1610.543812736681,908.8156506405187,-577.5881790400842,-24.962736637511096,-16.461438449023518,10.302542857666156,7.573886367784746,3.0754611212239373,0.0849316123614382,-0.04421119646897277,3.0769512115884137
8.0,1585.7870642183757,892.2054715224133,-567.3229526977217,-24.550766984684127,-16.758929521272435,10.227912343906151,7.572347892178952,1.5873760865717381,-1.4942513646502982,1.160160669842887,2.4695187770987195
9.0,1560.0162958079472,875.3430664424278,-556.7153590832768,-26.99077442334938,-16.96582040601066,10.98727663808894,7.571113132790402,2.5529390896420336,0.09377635576440727,-0.08363920531858977,2.556025892536557
10.0,1532.4248324477226,858.1787489978134,-545.519764893005,-28.192161080052276,-17.36278447333618,11.40391509908118,7.569835119844134,2.6093502111544646,0.12148087655183455,-0.11907280585186282,2.614888923709278
11.0,1503.8189573471116,840.8797091951105,-534.0803064770724,-29.0195863315762,-17.235276288544735,11.4750006666706,7.568527675382279,2.295681752196489,-0.905377183217204,0.23543721726441533,2.47897091179454
12.0,1474.4226541212167,822.9916874357839,-522.6258828694752,-29.773048952356824,-18.540750965647177,11.43385756745499,7.567288189926382,1.8853602920073178,-0.6552986940559874,0.6861352273636722,2.4820454706477983
13.0,1444.1312933727725,803.9617084130335,-511.0225002298113,-30.809694160593228,-19.51918136108654,11.772915972996126,7.566047167191058,1.649321120436063,0.2184471771201378,0.4333114111117802,2.4851276575277765
14.0,1412.0620113010455,784.7970208824844,-499.29624679575505,-33.32885436335461,-18.81013891367762,11.679584925728152,7.564804603362294,2.793755768892059,0.24291076909075063,-0.1287639831122766,2.8072505921619375
15.0,1377.8812212898563,766.187415981777,-487.46509272370145,-35.0327168361721,-18.409030748311707,11.982719846503764,7.563400978066213,3.266461757680336,0.2148296202937531,-0.18122141567764463,3.2785309786926407
16.0,1343.5763217219653,747.4438983923695,-475.552897367693,-33.577097090746044,-19.07803775633439,11.841676518319042,7.561761712576867,1.6042695841512462,-1.6152318049821797,1.022919731889133,2.4958004118374024
