Time,X0,X1,X2,X3,X4,X5,X6,U0,U1,U2,U3
0.0,2400.0,450.0,-330.0,-10.0,-40.0,10.0,7.600902459542082,0.9279552531873505,1.6544402696765992,0.08155457524997387,2.58311419843965
1.0,2388.686680562525,410.62060888058835,-320.1242869545125,-12.626611495198794,-38.758726407621864,9.751415627112571,7.599610902442862,0.9256690928784609,1.6657398477744803,0.10256758319150337,2.578672931949309
2.0,2374.8662550237027,372.80798664747584,-310.1407324779387,-15.01419783934855,-36.86646148890952,10.215677372857343,7.598321565976887,0.9203377383640273,1.6546998692170003,0.0762462860218693,2.5707448259107712
3.0,2358.4881227091173,336.46554106476026,-299.483775133422,-17.742043676699662,-35.81836206963102,11.098228482913026,7.597036193563931,0.9222363594836125,1.6796726012508478,0.005893274610897011,2.5751597912702575
4.0,2338.90285497272,301.3280172509216,-288.38138750821867,-21.428461764042545,-34.456604170446155,11.106535289986951,7.595748613668296,0.9515163569954153,1.6574771121258534,-0.010825897222453851,2.6280863658214777
5.0,2316.1748417701765,267.8656499777495,-277.5797885705308,-24.027520780520792,-32.46807819474116,10.496645822983147,7.594434570485386,0.9528557493834064,1.635605288421225,0.02942486811504585,2.631303095996281
6.0,2290.6455303726234,236.2991665618418,-267.1875936004003,-27.031062244327067,-30.664824147215775,10.287728918070414,7.593118918937388,0.9662121456741144,1.610000850681927,0.03620833385468118,2.6569020541330852
7.0,2262.3559629792635,206.77312605855718,-256.7858560571407,-29.54802230637309,-28.387199420367104,10.515726969486836,7.591790467910322,0.9660225302425784,1.5729447783970214,0.01380403323176893,2.657969920278346
8.0,2231.382451375267,179.17768348103485,-245.97429991109445,-32.39896598289441,-26.803617857413972,11.107371977533877,7.590461482950182,0.9762068203072773,1.5597323535158585,-0.046546001322869755,2.678197284592032
9.0,2197.800136211563,153.1382787455076,-235.40748659618427,-34.76563064376984,-25.275148528568977,10.026241772696721,7.5891223843078865,0.9726078230186196,1.5597077536807307,0.03895360066914285,2.674148382823622
10.0,2161.590553450892,128.225432007633,-225.4109248219566,-37.65351891582953,-24.550481742620637,9.966875675576205,7.587785310116475,0.9857875205028713,1.586431969826222,0.034173934259648694,2.7019600295525583
11.0,2122.070543417193,104.26002740626342,-215.27098136305275,-41.38647535997858,-23.380242187280693,10.31300138532477,7.5864343301016985,1.0334343565465456,1.5570142072717588,-0.01491401153586336,2.7948495034554197
12.0,2079.258223044076,81.53193400203068,-205.09468537637267,-44.23813663753075,-22.07588401940834,10.039579600984597,7.585036905349971,1.0525754741572835,1.5464042113364898,-0.0011423885615065804,2.832182330894413
13.0,2034.0522465703023,60.311326958565466,-195.16638258806287,-46.17377859868333,-20.36528924911014,9.817011563297195,7.583620814184523,1.0393018234010873,1.5348993700009046,0.018662927323485557,2.8080972908719755
14.0,1986.6142053673823,40.49923210530469,-185.18759940768024,-48.702279428987964,-19.258841949941534,10.140545480735781,7.582216765539087,1.0479353597730319,1.5462404743748275,-0.019527398189197843,2.8272416435815715
15.0,1936.5062768042078,21.891752931300598,-174.27049360798753,-51.51354898853923,-17.95604128040296,11.693655146849345,7.580803144717296,1.0685868555117262,1.53344479832222,-0.18225223403028762,2.8693304351812334
16.0,1883.369222117598,4.542794992367676,-162.00753567559627,-54.760533632511375,-16.74179335970358,12.832250493916767,7.579368479499705,1.1158025484545033,1.5102056101028505,-0.3222681933257411,2.9642702119689583
17.0,1827.5137841918954,-11.791350130570136,-148.93976794224614,-56.95032427130971,-15.926444606132144,13.303278113661424,7.577886344393721,1.1204047243925523,1.5408577538965336,-0.399368958081094,2.978892295627387
18.0,1769.3750165180772,-26.822586356505052,-135.74223972834997,-59.3271716128283,-14.135977192997668,13.091763232159387,7.576396898245907,1.1368491572884556,1.4999391400147624,-0.4262791806908021,3.0131772205578096
19.0,1709.3778623332944,-40.22037728431151,-122.77658601739806,-60.667104224952915,-12.659577233136204,12.839531756902506,7.574890309635628,1.0973308008708287,1.5136795255865305,-0.4459093739397585,2.938519242256141
20.0,1647.071666311382,-52.03372071725765,-110.30725088542059,-63.945250519284635,-10.967043548986611,12.099124252074354,7.5734210500145,1.1676289288230934,1.4495565949028864,-0.43291102520655866,3.0766776474794635
21.0,1581.8725174636927,-62.46238032391659,-98.30262753515223,-66.45302346520293,-9.890221928862935,11.910113386747305,7.57188271119076,1.206857905936941,1.4578607078609473,-0.47279386679568675,3.1595284783434994
22.0,1514.2786047618933,-71.36051197911631,-86.6793546177712,-68.73475820575673,-7.90599587688862,11.336415734483449,7.570302946951588,1.2404369008670209,1.3963280565821858,-0.4835387125600056,3.2284403371806913
23.0,1444.3272355151219,-78.70533889951463,-75.5789064772099,-71.1679555746243,-6.7836082575674235,10.864471101880937,7.568688726782998,1.301177667265219,1.4084641478097313,-0.5079974964383364,3.363122269200872
24.0,1371.9672950087886,-85.03523706260235,-64.71860836115796,-73.5519054690281,-5.876135538527754,10.85611749856038,7.5670071656483975,1.3797018417849196,1.4557041751733257,-0.5950253644373821,3.5448730335357874
25.0,1296.914152781177,-90.07114050384276,-54.29379160840838,-76.55434196037942,-4.195612369128519,9.993501856589452,7.56523472913163,1.5957773945499107,1.4916951853154827,-0.6557417545814975,4.026300271510117
26.0,1219.3948035321673,-93.08605563248592,-44.45541617694946,-78.48430448802029,-1.8341779194752514,9.6832291142531,7.563221578995875,1.7540271718223668,1.431273980870586,-0.7890050352193608,4.3784125620195855
27.0,1140.077392691112,-94.43675787023692,-34.7958939186449,-80.15049591652496,-0.8671901897907174,9.635807270597601,7.561032372714865,1.9561714426798922,1.5685603921455602,-1.0235462859247795,4.8637833994380175
28.0,1059.1932305609798,-94.3028609402705,-25.256874061491104,-81.61778422349025,1.1350147953743455,9.44221558204387,7.558600481015146,2.205237184478312,1.5584681138080083,-1.3431399087895919,5.431178575455222
29.0,976.8010061783975,-92.1605565727392,-16.744907137714197,-83.16662014877572,3.1496124287905434,7.581701299643878,7.555884891727419,2.5751569720571315,1.5512747350802047,-1.4495583955312614,6.250601897876814
30.0,893.2734784924121,-87.99755686628738,-9.422130322379209,-83.88839056183485,5.176398547328065,7.0638352625605245,7.55275959077848,2.9284838624013703,1.6114095067391367,-1.8267540651541814,7.15595026443808
