Time,X0,X1,X2,X3,X4,X5,X6,U0,U1,U2,U3
0.0,1900.0,-620.0,-750.0,-30.0,-23.0,34.0,7.600902459542082,6.700638502708302,6.50723352241043,-2.217504145187354,9.599998432717443
1.0,1871.4993587690385,-639.7215551545831,-717.1017445862936,-27.01486776085832,-16.492431554212608,31.780082038295095,7.599066475946319,6.850605327346783,6.377153362743871,-2.213540106869961,9.617621261860728
2.0,1846.0503642903157,-653.0195666962145,-686.4339139153353,-23.88483901590931,-10.097791361653538,29.57380402465836,7.576570471591932,7.163202014042117,6.348417164990295,-2.255087206614182,9.83357943112825
3.0,1823.90017464798,-659.9299552076338,-657.9842118523802,-20.419369988363062,-3.7543997979252137,27.3047765197156,7.5800001242331,4.382029049498568,3.724986271538547,-1.3469179894914367,5.906935715109011
4.0,1803.802150669212,-661.8338448234133,-631.3458957125831,-19.736155382204494,-0.043892746493053886,25.948354813245643,7.565841739897288,1.8118982352784505,1.602630310150067,-0.5680109185639796,2.4847606737787333
5.0,1783.108571403852,-661.0755029875752,-605.6827474971961,-21.639867082112406,1.5812209533046757,25.374554655725664,7.546340915166289,1.7444964124184714,1.7402691353276005,-0.5843192303395975,2.5324362514151795
6.0,1760.4857710590388,-658.6262055395802,-580.5966142322869,-23.598562185591543,3.3306065986908795,24.77865160090946,7.538432023843449,1.7739903193285065,1.737870771804929,-0.5872453943643458,2.5518804166328057
7.0,1735.9213330055395,-654.4327038449503,-556.1250501244076,-25.527146608468538,5.0700246027596485,24.199313595029306,7.543266909034613,1.9006387156469533,1.5831198631456793,-0.5769184183230153,2.539986399059879
8.0,1709.4881208834659,-648.5712452525928,-532.216729452198,-27.35004809949322,6.667707117844664,23.62820061402722,7.5489958466057985,2.013124452307564,1.4182411880436807,-0.5623252382739896,2.5259231835310043
9.0,1681.2943506591248,-641.1982459175388,-508.86688957253557,-29.05884897338484,8.107801678070874,23.067664244984687,7.5551330497595774,2.0992786689689447,1.2647865510011183,-0.5458324337306835,2.510894064604696
10.0,1651.4312248860824,-632.4561668435555,-486.06004289004613,-30.653839199740517,9.381009377269246,22.521838749615167,7.560125598850221,2.1525163937631557,1.151871036711752,-0.5323042377347676,2.498695966378534
11.0,1619.9813234483522,-622.502288149523,-463.7976202026569,-32.217357232163955,10.52940008012651,21.977347874060573,7.551469149561227,2.171009805953545,1.1617507769455269,-0.535495365284673,2.5198618497441054
12.0,1586.9848746832795,-611.384057235453,-442.08398915477085,-33.765527228104595,11.69542937087819,21.44730483813028,7.555218810179946,2.2205430596448634,1.0490974393044075,-0.5216519347049522,2.5106847226152875
13.0,1552.4749134620288,-599.1541279195657,-420.89501633022013,-35.24377359871748,12.744423048305693,20.930679508253608,7.553730085142979,2.2485361612812995,0.999381820466826,-0.516873231877122,2.514326317277031
14.0,1516.5321455175438,-585.9184442615486,-400.2176849632797,-36.70259241166407,13.752106105721285,20.404881935704577,7.557439089069418,2.277669070790194,0.9135543220840537,-0.5039374423977859,2.505256642109673
15.0,1479.1019504360593,-571.706355996505,-380.0492695020861,-38.124330631615074,14.651967575102468,19.891476400136415,7.5345663062010715,2.3072456244123525,0.983203380877167,-0.5203220411594259,2.5614070953313246
16.0,1440.287847870196,-556.5565601092522,-360.4241878837567,-39.52855626434197,15.62549827259754,19.365734178927017,7.514102130467977,2.3556701682969345,0.9970234306209487,-0.5289289235255715,2.6120879526085696
17.0,1400.0960484616078,-540.4126695340879,-341.31459400978514,-40.88631126437596,16.6456478647892,18.823735876697018,7.5198003932366,2.3912407664876456,0.8779279513726258,-0.5103625203081268,2.5979337560478437
18.0,1358.551880279089,-523.3407378161692,-322.73394420781074,-42.19169421110971,17.53512081629783,18.33441378684696,7.526423050607755,2.4054973364141214,0.7925718679438865,-0.49967957652073747,2.581524219346934
