Time,X0,X1,X2,X3,X4,X5,X6,U0,U1,U2,U3
0.0,1840.0,1020.0,-650.0,-48.0,-11.0,7.0,7.600902459542082,6.788225104193089,-5.724788863465068,3.6478476143034593,9.599999991122274
1.0,1793.5302944823413,1006.1502486757856,-641.1778372243932,-44.83488277895131,-16.572439722129975,10.570962002531356,7.5907931800542325,6.856849183538561,-5.783091243234872,3.684051530286348,9.697049073895947
2.0,1750.257146628997,986.6859934646039,-628.766054695544,-41.77014915326021,-22.440029624091057,14.130527095040195,7.581758797649617,9.777229209778566,-0.28565776307910123,0.19812988276293814,9.783408289291517
3.0,1711.527041765907,964.105644774459,-614.5503236242713,-35.784811858532926,-22.63525963402529,14.435485481982623,7.556205225389014,10.023994968205429,-0.2770323439179198,0.15844365549872533,10.029074078279177
4.0,1678.9092668736303,941.3385417161751,-600.0169241867973,-29.518801249268087,-22.982424314682685,14.472053072048245,7.534757361623788,10.030026207387445,-0.2566816456574515,0.18884005102211382,10.035087129959644
5.0,1652.5513776273572,918.2214663447462,-585.4428891519937,-23.217215226200565,-23.325617986245664,14.620596338189268,7.546411848741553,3.0597405709685623,-0.08243940205973126,0.06946651830698738,3.061639143254962
6.0,1628.9932817278625,894.8487517383994,-570.7884959976877,-23.777199381418075,-23.343379920616457,14.68626208698271,7.550278343548648,2.5703738774540157,-0.09106050229684513,0.06887948490584099,2.572908550533101
7.0,1604.6513980333152,871.4645608751531,-556.0725851731885,-24.884073392379037,-23.57862882991981,14.733749681780862,7.5608365481405695,2.7139203907641405,-0.10071331480304577,0.08599383272321144,2.7171497699818303
8.0,1579.2492263633433,847.8379702345384,-541.2884068406728,-25.79774986401502,-23.517436427913292,14.93991208932866,7.563383591761309,2.484835426099089,-0.14466849549216698,0.09218603472403877,2.4907498027319854
9.0,1552.8339972498056,824.246310015434,-526.3012249796639,-26.856658460830182,-23.617373385465925,15.138652542505675,7.559019332659159,2.4430507215647483,-0.4613011489644656,0.2751171392918221,2.501396670343618
